linkId,planPhraseId,planPeriodType,phraseDomainCode,phraseDomain,ageYears,phraseNo,abilityCode,abilityDomain,categoryCode,categoryName,abilityName,relationType,weight,status,sortOrder,note
PPAL-00121,PLAN-REL-4-007,MONTH,21,人間関係,4,7,2104004,人間関係,2104,社会生活との関わり,相手の気持ちを考えた関わり,RELATED,2,active,121,
PPAL-00122,PLAN-REL-4-007,MONTH,21,人間関係,4,7,4102004,言葉,4102,言葉による伝え合い,経験や考えの言語表現,RELATED,1,active,122,
PPAL-00123,PLAN-REL-4-008,MONTH,21,人間関係,4,8,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,PRIMARY,3,active,123,
PPAL-00124,PLAN-REL-4-008,MONTH,21,人間関係,4,8,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,PRIMARY,3,active,124,
PPAL-00125,PLAN-REL-4-008,MONTH,21,人間関係,4,8,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,2,active,125,
PPAL-00126,PLAN-REL-4-008,MONTH,21,人間関係,4,8,3101004,環境,3101,社会生活との関わり,公共施設を大切に利用する姿勢,RELATED,1,active,126,
PPAL-00127,PLAN-REL-5-001,MONTH,21,人間関係,5,1,2102002,人間関係,2102,協同性,友達との共通目的の形成,PRIMARY,3,active,127,
PPAL-00128,PLAN-REL-5-001,MONTH,21,人間関係,5,1,2102003,人間関係,2102,協同性,協働的な思考と工夫,PRIMARY,3,active,128,
PPAL-00129,PLAN-REL-5-001,MONTH,21,人間関係,5,1,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,2,active,129,
PPAL-00130,PLAN-REL-5-001,MONTH,21,人間関係,5,1,4102006,言葉,4102,言葉による伝え合い,言葉による伝え合いの楽しみ,RELATED,1,active,130,
PPAL-00131,PLAN-REL-5-002,MONTH,21,人間関係,5,2,4102004,言葉,4102,言葉による伝え合い,経験や考えの言語表現,PRIMARY,3,active,131,
PPAL-00132,PLAN-REL-5-002,MONTH,21,人間関係,5,2,4102005,言葉,4102,言葉による伝え合い,相手の話を注意深く聴く力,PRIMARY,3,active,132,
PPAL-00133,PLAN-REL-5-002,MONTH,21,人間関係,5,2,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,RELATED,2,active,133,
PPAL-00134,PLAN-REL-5-002,MONTH,21,人間関係,5,2,2104004,人間関係,2104,社会生活との関わり,相手の気持ちを考えた関わり,RELATED,2,active,134,
PPAL-00135,PLAN-REL-5-003,MONTH,21,人間関係,5,3,2102004,人間関係,2102,協同性,協力して行動する力,PRIMARY,3,active,135,
PPAL-00136,PLAN-REL-5-003,MONTH,21,人間関係,5,3,2102005,人間関係,2102,協同性,友達と充実感持った達成,PRIMARY,3,active,136,
PPAL-00137,PLAN-REL-5-003,MONTH,21,人間関係,5,3,2101004,人間関係,2101,自立心,諦めずにやり遂げる力,RELATED,2,active,137,
PPAL-00138,PLAN-REL-5-003,MONTH,21,人間関係,5,3,2101005,人間関係,2101,自立心,達成感の獲得,RELATED,2,active,138,
PPAL-00139,PLAN-REL-5-004,MONTH,21,人間関係,5,4,2103004,人間関係,2103,道徳性・規範意識の芽生え,規範の必要性の理解,PRIMARY,3,active,139,
PPAL-00140,PLAN-REL-5-004,MONTH,21,人間関係,5,4,2103006,人間関係,2103,道徳性・規範意識の芽生え,ルールの創出と遵守,PRIMARY,3,active,140,
PPAL-00141,PLAN-REL-5-004,MONTH,21,人間関係,5,4,2103001,人間関係,2103,道徳性・規範意識の芽生え,善悪の判断,RELATED,2,active,141,
PPAL-00142,PLAN-REL-5-004,MONTH,21,人間関係,5,4,2103002,人間関係,2103,道徳性・規範意識の芽生え,行動の振り返り,RELATED,2,active,142,
PPAL-00143,PLAN-REL-5-005,MONTH,21,人間関係,5,5,2103003,人間関係,2103,道徳性・規範意識の芽生え,共感と他者視点,PRIMARY,3,active,143,
PPAL-00144,PLAN-REL-5-005,MONTH,21,人間関係,5,5,2104004,人間関係,2104,社会生活との関わり,相手の気持ちを考えた関わり,PRIMARY,3,active,144,
PPAL-00145,PLAN-REL-5-005,MONTH,21,人間関係,5,5,2102004,人間関係,2102,協同性,協力して行動する力,RELATED,2,active,145,
PPAL-00146,PLAN-REL-5-005,MONTH,21,人間関係,5,5,2102005,人間関係,2102,協同性,友達と充実感持った達成,RELATED,2,active,146,
PPAL-00147,PLAN-REL-5-006,MONTH,21,人間関係,5,6,2103005,人間関係,2103,道徳性・規範意識の芽生え,感情調整と折り合い,PRIMARY,3,active,147,
PPAL-00148,PLAN-REL-5-006,MONTH,21,人間関係,5,6,2102003,人間関係,2102,協同性,協働的な思考と工夫,PRIMARY,3,active,148,
PPAL-00149,PLAN-REL-5-006,MONTH,21,人間関係,5,6,2101003,人間関係,2101,自立心,自力で考え工夫する力,RELATED,2,active,149,
PPAL-00150,PLAN-REL-5-006,MONTH,21,人間関係,5,6,4102006,言葉,4102,言葉による伝え合い,言葉による伝え合いの楽しみ,RELATED,1,active,150,
PPAL-00151,PLAN-REL-5-007,MONTH,21,人間関係,5,7,2101003,人間関係,2101,自立心,自力で考え工夫する力,PRIMARY,3,active,151,
PPAL-00152,PLAN-REL-5-007,MONTH,21,人間関係,5,7,2101006,人間関係,2101,自立心,自信をもった行動,PRIMARY,3,active,152,
PPAL-00153,PLAN-REL-5-007,MONTH,21,人間関係,5,7,2101002,人間関係,2101,自立心,しなければならないことの自覚,RELATED,2,active,153,
PPAL-00154,PLAN-REL-5-007,MONTH,21,人間関係,5,7,2101004,人間関係,2101,自立心,諦めずにやり遂げる力,RELATED,2,active,154,
PPAL-00155,PLAN-REL-5-008,MONTH,21,人間関係,5,8,2104002,人間関係,2104,社会生活との関わり,地域の人々との触れ合い,PRIMARY,3,active,155,
PPAL-00156,PLAN-REL-5-008,MONTH,21,人間関係,5,8,2104005,人間関係,2104,社会生活との関わり,役立つ喜びと地域への親しみ,PRIMARY,3,active,156,
PPAL-00157,PLAN-REL-5-008,MONTH,21,人間関係,5,8,2104003,人間関係,2104,社会生活との関わり,人との多様な関わり方への気付き,RELATED,2,active,157,
PPAL-00158,PLAN-REL-5-008,MONTH,21,人間関係,5,8,3101005,環境,3101,社会生活との関わり,社会とのつながりの意識,RELATED,1,active,158,
PPAL-00159,PLAN-ENV-3-001,MONTH,31,環境,3,1,3102001,環境,3102,思考力の芽生え,身近な事象への主体的な関わり,PRIMARY,3,active,159,
PPAL-00160,PLAN-ENV-3-001,MONTH,31,環境,3,1,3103001,環境,3103,自然との関わり・生命尊重,自然に触れて感動する体験,PRIMARY,3,active,160,
PPAL-00161,PLAN-ENV-3-001,MONTH,31,環境,3,1,3102004,環境,3102,思考力の芽生え,多様な関わりを楽しむ,RELATED,2,active,161,
PPAL-00162,PLAN-ENV-3-002,MONTH,31,環境,3,2,3103001,環境,3103,自然との関わり・生命尊重,自然に触れて感動する体験,PRIMARY,3,active,162,
PPAL-00163,PLAN-ENV-3-002,MONTH,31,環境,3,2,3103003,環境,3103,自然との関わり・生命尊重,好奇心や探究心にもとづく表現,PRIMARY,3,active,163,
PPAL-00164,PLAN-ENV-3-002,MONTH,31,環境,3,2,3102001,環境,3102,思考力の芽生え,身近な事象への主体的な関わり,RELATED,2,active,164,
PPAL-00165,PLAN-ENV-3-002,MONTH,31,環境,3,2,4102001,言葉,4102,言葉による伝え合い,保育士と友達との心の交流,RELATED,1,active,165,
PPAL-00166,PLAN-ENV-3-003,MONTH,31,環境,3,3,3102002,環境,3102,思考力の芽生え,物の性質や仕組みの発見,PRIMARY,3,active,166,
PPAL-00167,PLAN-ENV-3-003,MONTH,31,環境,3,3,3104005,環境,3104,数量や図形、標識や文字などへの関心・感覚,数量や図形、標識への興味・感覚の形成,PRIMARY,3,active,167,
PPAL-00168,PLAN-ENV-3-003,MONTH,31,環境,3,3,5101002,表現,5101,豊かな感性と表現,素材や表現方法への気付き,RELATED,1,active,168,
PPAL-00169,PLAN-ENV-3-004,MONTH,31,環境,3,4,3103002,環境,3103,自然との関わり・生命尊重,自然の変化を感じ取る感性,PRIMARY,3,active,169,
PPAL-00170,PLAN-ENV-3-004,MONTH,31,環境,3,4,3103001,環境,3103,自然との関わり・生命尊重,自然に触れて感動する体験,PRIMARY,3,active,170,
PPAL-00171,PLAN-ENV-3-004,MONTH,31,環境,3,4,3103003,環境,3103,自然との関わり・生命尊重,好奇心や探究心にもとづく表現,RELATED,2,active,171,
PPAL-00172,PLAN-ENV-3-005,MONTH,31,環境,3,5,3103006,環境,3103,自然との関わり・生命尊重,動植物を思いやり大切に扱う態度,PRIMARY,3,active,172,
