abilityCode,abilityName,startingAge,episode1,episode2,episode3
2101004,諦めずにやり遂げる力,4,時間がかかっても途中でやめずに完成させる,さいごまで やりたい！もう一回 やってみる！,汗をかいても集中を切らさない
2101005,達成感の獲得,4,完成した作品や成果を保育士・友達に見せに来る,できたよ 見て見て！ やったー ひとりで できた！ ,両手を上げてガッツポーズをする
2101005,達成感の獲得,4,「できた！」と笑顔で喜びを表現する,やったー！ ひとりで できた！ がんばったら できたよ！ ,満足そうに作品を眺める
2101005,達成感の獲得,4,頑張った過程を振り返って話す,がんばったら できたよ！ できたよ 見て見て！ ,跳び跳ねて喜びを表す
2101006,自信をもった行動,4,友達の前で自分の考えや作品を堂々と発表する,ぼくが やるよ！ こうやるんだよ、教えてあげる！ ,胸を張って姿勢よく振る舞う
2101006,自信をもった行動,4,新しい活動にも臆せず挑戦する,こうやるんだよ、教えてあげる！ だいじょうぶ、できるよ！ ,はっきりとした声で話す
2101006,自信をもった行動,4,困っている友達に自分から教えたり手伝ったりする,だいじょうぶ、できるよ！ ぼくが やるよ！ ,迷わず手を挙げて前に出る
2102001,友達と思いや考えを共有,4,友達の話を最後まで聞いてうなずいたり応答したりする,そうだね、いいね！ 見て見て、こんなのできたよ！ ,友達の方に体を向けて話に耳を傾ける
2102001,友達と思いや考えを共有,4,自分のアイデアを友達に伝え、相手の意見も尋ねる,見て見て、こんなのできたよ！ ぼくは こう思うんだけど、○○ちゃんは どう？,頷きながら相づちを打つ
2102001,友達と思いや考えを共有,4,遊びの中で発見や気づきを友達と見せ合う,ぼくは こう思うんだけど、○○ちゃんは どう？そうだね、いいね！,指差しながら一緒に覗き込む
2102002,友達との共通目的の形成,5,「○○を作ろう」「○○ごっこしよう」と遊びのテーマを決める,みんなで おっきいお城 作ろうよ！ こういうルールで やろう！ ,輪になって顔を寄せ合い相談する
2102002,友達との共通目的の形成,5,役割分担を話し合って決める,こういうルールで やろう！○○ちゃんは お母さん役ね！,友達と目を合わせて合意を確認する
2102002,友達との共通目的の形成,5,みんなで目標やルールを確認し合う,○○ちゃんは お母さん役ね！みんなで おっきいお城 作ろうよ！,一緒に設計図や絵を描いて共有する
2102003,協働的な思考と工夫,5,上手くいかない時、友達と一緒に解決策を考える,じゃあ こうしたら どうかな？ どっちが いいか 決めよう！,友達と顔を見合わせて考え込む
2102003,協働的な思考と工夫,5,互いのアイデアを組み合わせて新しい方法を生み出す,どっちが いいか 決めよう！○○ちゃんの考えと ぼくのを合わせよう！,身振り手振りで説明し合う
2102003,協働的な思考と工夫,5,意見が分かれた時に話し合って折り合いをつける,○○ちゃんの考えと ぼくのを合わせよう！じゃあ こうしたら どうかな？,一緒に材料を並べて試行錯誤する
2102004,協力して行動する力,4,重い物を友達と一緒に運ぶ,いっしょに 持とう、せーの！ 手伝うよ！,タイミングを合わせて動く
2102004,協力して行動する力,4,役割を分担して一つの作業を進める,手伝うよ！○○ちゃんは こっち、ぼくは あっちね！,友達と目を合わせて合図を送る
2102004,協力して行動する力,4,困っている友達に手を貸し、助けを受け入れる,○○ちゃんは こっち、ぼくは あっちね！いっしょに 持とう、せーの！,肩を並べて一緒に作業する
2102005,友達と充実感持った達成,4,完成した時に友達と一緒に喜びを分かち合う,やったー！ みんなで できたね！ ○○ちゃん、がんばったね！,ハイタッチや抱き合って喜ぶ
2102005,友達と充実感持った達成,4,「みんなで できた」と振り返って話す,○○ちゃん、がんばったね！いっしょに やって たのしかった！,友達と顔を見合わせて笑い合う
2102005,友達と充実感持った達成,4,仲間の頑張りを認め合い、褒め合う,いっしょに やって たのしかった！やったー！ みんなで できたね！,完成品を囲んで誇らしげに眺める
2103001,善悪の判断,5,いけないことをしている友達に注意する,それは いけないよ！  そういうことしたら だめだよ！,困った顔で首を横に振る
2103001,善悪の判断,5,悪いことをしたと気づいたら自分から止める,そういうことしたら だめだよ！○○ちゃん、優しかったね！,悪い行為を見て眉をひそめる
2103001,善悪の判断,5,良い行いをした友達を認めて保育士に伝える,○○ちゃん、優しかったね！それは いけないよ！ ,良い行いに拍手や頷きで応える
2103002,行動の振り返り,5,友達に「ごめんね」と自分から謝る,さっきは ごめんね！  やりすぎちゃった…,うつむいて反省の表情を見せる
2103002,行動の振り返り,5,失敗やトラブルの後、自分の行動を思い返して話す,やりすぎちゃった…今度は こうするね！  ,頭を下げて謝る
2103002,行動の振り返り,5,次はどうするかを考えて口にする,今度は こうするね！  さっきは ごめんね！,保育士の目を見て話を聞く
2103003,共感と他者視点,4,泣いている友達のそばに寄り添い慰める,だいじょうぶ？ いたかった？ ○○ちゃん、かなしかったんだよね！,友達の背中をさする・抱きしめる、顔を覗き込む
2103003,共感と他者視点,4,友達の気持ちを察して道具を譲ったり手伝ったりする, ○○ちゃん、かなしかったんだよね！先に どうぞ！,心配そうに顔を覗き込む
2103003,共感と他者視点,4,「○○ちゃんは 嫌だったんだよ」と代弁する,先に どうぞ！だいじょうぶ？ いたかった？,ハンカチやティッシュを差し出す
2103004,規範の必要性の理解,5,順番や約束を守って遊ぶ,順番だよ、ならんで待とう！ 約束したでしょ！,列に並んで静かに待つ
2103004,規範の必要性の理解,5,ルールを破った友達に理由を説明する,約束したでしょ！ルール守らないと みんな 困るよ！,決まりを指差して友達に示す
2103004,規範の必要性の理解,5,「みんなのために」と考えて行動する,ルール守らないと みんな 困るよ！順番だよ、ならんで待とう！ ,保育士の話を真剣な表情で聞く
2103005,感情調整と折り合い,4,悔しくても泣かずに気持ちを切り替える,じゃあ、○○ちゃんが 先でいいよ！ 今度 かしてくれる？,涙を拭いて遊びに戻る
2103005,感情調整と折り合い,4,自分の意見を通さず友達に譲る,今度 かしてくれる？ちょっと 待ってね、おちつく！,大きく息を吸って気持ちを整える
2103005,感情調整と折り合い,4,怒りを感じても深呼吸や言葉で伝える,ちょっと 待ってね、おちつく！じゃあ、○○ちゃんが 先でいいよ！ ,一度その場を離れて落ち着く
2103006,ルールの創出と遵守,3,遊びの中で友達と新しいルールを話し合って決める,それだと ずるいから、こう変えよう！ みんなで 決めたから 守ろうね！,友達と顔を寄せて相談する
2103006,ルールの創出と遵守,3,決めたルールを自分も守り、友達にも伝える, みんなで 決めたから 守ろうね！それだと ずるいから、こう変えよう！,指折り数えながらルールを確認する
2103006,ルールの創出と遵守,3,状況に応じてルールを見直し、改善を提案する,それだと ずるいから、こう変えよう！それだと ずるいから、こう変えよう！,決まりを紙に書いたり絵に描いたりする
2104001,家族を大切にする気持ち,4,家族の絵を描いたり、家族の話を嬉しそうに友達や保育士にする,昨日、お父さんと ○○したんだよ！ おばあちゃんに 見せてあげる！,家族の話をする時、笑顔になる
2104001,家族を大切にする気持ち,4,母の日・父の日などに感謝を込めてプレゼントを作る,おばあちゃんに 見せてあげる！お母さん、大好き！,家族の写真を大切そうに眺める
2104001,家族を大切にする気持ち,4,家族のために手紙や作品を持ち帰ろうとする,お母さん、大好き！昨日、お父さんと ○○したんだよ！ ,作品を大事そうにカバンにしまう
2104002,地域の人々との触れ合い,3,散歩中に出会う地域の人に自分から挨拶する,おはようございます！ この前の おじさん、また 会えたね！,会釈やお辞儀をする、手を振って挨拶する
2104002,地域の人々との触れ合い,3,地域の行事（お祭り・交流会等）に興味を持って参加する,この前の おじさん、また 会えたね！ お店の人、優しかったね！ ,手を振って挨拶する、会釈やお辞儀をする
2104002,地域の人々との触れ合い,3,近所の商店や施設の人に話しかけたり質問したりする,お店の人、優しかったね！ おはようございます！ ,地域の人の顔を覚えて笑顔を向ける
2104003,人との多様な関わり方への気付き,4,年下の子には優しく、年上には憧れを持って接する,小さい子には ゆっくり話そう！ ○○さんは こうするのが 好きなんだって！,年下の子の手を引いて歩く
2104003,人との多様な関わり方への気付き,4,高齢者や外国の人、障がいのある人に関心を示し関わろうとする,○○さんは こうするのが 好きなんだって！お年寄りには 席を ゆずるんだよ！,相手の目線に合わせてしゃがむ
2104003,人との多様な関わり方への気付き,4,相手に合わせて話し方や接し方を変える,お年寄りには 席を ゆずるんだよ！小さい子には ゆっくり話そう！,相手の様子を見ながら接し方を変える
2104004,相手の気持ちを考えた関わり,4,相手の立場や状況を考えて言葉や行動を選ぶ,だいじょうぶ？ 手伝おうか？ 今は お話 やめておこう！,そっと寄り添って様子を見る
2104004,相手の気持ちを考えた関わり,4,困っている人に自分から声をかけ手を差し伸べる,今は お話 やめておこう！○○さんは これが 好きかな？,相手の顔色や表情を伺う
2104004,相手の気持ちを考えた関わり,4,相手が喜ぶことを考えて行動する,○○さんは これが 好きかな？だいじょうぶ？ 手伝おうか？ ,相手に合わせて声の大きさを調整する
2104005,役立つ喜びと地域への親しみ,4,保育所や地域のための仕事（掃除・お手伝い）に進んで取り組む,お手伝い できて うれしい！ この公園、ぼくの 大好きな場所！,ゴミを拾って嬉しそうに見せる
2104005,役立つ喜びと地域への親しみ,4,地域の場所（公園・図書館等）を大切に使う,この公園、ぼくの 大好きな場所！ぼくたちの 町だもんね！ ,地域の地図や写真を指差して微笑む
2104005,役立つ喜びと地域への親しみ,4,地域で見つけたことを嬉しそうに報告する,ぼくたちの 町だもんね！ お手伝い できて うれしい！,役に立てた時に胸を張る
3101001,さまざまな環境への主体的関わり,5,散歩や園外保育で地域の人に挨拶する,「こんにちは！」と自分から挨拶する、「あれは何？」「行ってみたい」と関心を示す,手を振る、お辞儀をする
3101001,さまざまな環境への主体的関わり,5,初めての場所でも興味を持って探索する,「あれは何？」「行ってみたい」と関心を示す、「〇〇屋さんがあったよ」と発見を伝える,きょろきょろと周囲を見回す
3101001,さまざまな環境への主体的関わり,5,地域の行事やお祭りに積極的に参加する,「〇〇屋さんがあったよ」と発見を伝える、「こんにちは！」と自分から挨拶する,大人や店員の様子をじっと観察する
3101002,必要な情報の収集と活用,5,図鑑や絵本で調べ物をする,「〇〇って何だろう？調べてみよう」、「ここに書いてあるよ」,本をめくって探す、指差して確認する
3101002,必要な情報の収集と活用,5,保育士や家族、地域の人に質問する,ここに書いてあるよ！、知ってる人に聞いてみる！,大人のそばに寄って耳を傾ける
3101002,必要な情報の収集と活用,5,掲示物・チラシ・ポスターを見て情報を得る,知ってる人に聞いてみる！〇〇って何だろう？調べてみよう！,メモするように書き写す
3101003,情報に基づく判断と伝達,5,天気予報を見て持ち物や服装を考える,「今日は雨だから傘いるよ」、「〇〇って聞いたよ、だから〇〇しよう」,考え込んで頷く、判断して行動に移す
3101003,情報に基づく判断と伝達,5,知った情報を友達や保育士に伝える,〇〇って聞いたよ、だから〇〇しよう！みんなに教えてあげる！,友達を集めて身振りを交えて説明する
3101003,情報に基づく判断と伝達,5,聞いたことを遊びや活動に取り入れる,みんなに教えてあげる！今日は雨だから傘いるよ！,指を折って確認しながら話す
3101004,公共施設を大切に利用する姿勢,3,使った物を元の場所に戻す,「ここは静かにするところだよ」、「順番だから並ぼう」,丁寧に本を戻す、椅子を直す
3101004,公共施設を大切に利用する姿勢,3,図書館や公園で静かに過ごす・順番を守る,順番だから並ぼう！みんなが使うから大事にしよう！,小声で話す、そっと物を扱う
3101004,公共施設を大切に利用する姿勢,3,ゴミを拾う、汚さないよう気をつける,みんなが使うから大事にしよう！ここは静かにするところだよ！,友達に「シーッ」と合図する
3101005,社会とのつながりの意識,4,働く人（郵便屋さん・消防士等）の仕事に関心を持つ,「〇〇さんのおかげだね、ありがとう」、「大きくなったら〇〇になりたい」,働く人を見つめて観察する
3101005,社会とのつながりの意識,4,地域の高齢者や異年齢の人と交流する,大きくなったら〇〇になりたい！みんなのために〇〇してるんだね！,お礼に手紙や絵を描いて渡す
3101005,社会とのつながりの意識,4,行事や季節の伝統に親しみ参加する,みんなのために〇〇してるんだね！〇〇さんのおかげだね、ありがとう！,地域の人に笑顔で手を振る
3102001,身近な事象への主体的な関わり,5,水たまり、影、風など自然現象に触れて試す,「なんで？」「どうして？」、「やってみたい」「触ってみよう」,しゃがみ込んでじっと観察する
3102001,身近な事象への主体的な関わり,5,虫や植物を観察し、変化を追う,"「やってみたい」「触ってみよう」,「昨日と違う！」と変化に気づく",手に取って様々な角度から見る
3102001,身近な事象への主体的な関わり,5,気になったものを何度も触って確かめる,「昨日と違う！」と変化に気づく. 「なんで？」「どうして？」と疑問を口にする,目を輝かせて近づいていく
3102002,物の性質や仕組みの発見,4,水に浮くもの・沈むものを試して比べる,「くっつくものとくっつかないものがあるよ」、「こうすると倒れないんだ」,何度も繰り返して確かめる
3102002,物の性質や仕組みの発見,4,磁石・光・音などの性質を遊びの中で探る,こうすると倒れないんだ！これは浮くけど、こっちは沈むね！,首をかしげて考える
3102002,物の性質や仕組みの発見,4,積み木やブロックでバランスや構造を試す,これは浮くけど、こっちは沈むね！くっつくものとくっつかないものがあるよ！,発見すると「あっ！」と声をあげる
3102003,思考・予測・工夫する力,5,道具や素材を工夫して組み合わせる,「たぶん〇〇になると思う」、「今度はこうしてみよう」,手を止めて考え込む、上を見る
3102003,思考・予測・工夫する力,5,「こうしたらどうなるか」を予想してから試す,今度はこうしてみよう！　〇〇の代わりに〇〇を使えばいいんじゃない？,試行錯誤しながら手を動かす
3102003,思考・予測・工夫する力,5,失敗したら別の方法を考えてやり直す,〇〇の代わりに〇〇を使えばいいんじゃない？たぶん〇〇になると思う！,うまくいったときガッツポーズをする
3102004,多様な関わりを楽しむ,3,同じ素材でも違う使い方を試す,「こんな使い方もあるよ」、「違うのもやってみたい」,様々な場所・コーナーを行き来する
3102004,多様な関わりを楽しむ,3,異年齢や異なる友達と関わって遊ぶ,違うのもやってみたい！〇〇ちゃんとも一緒にやってみよう！,新しい関わり方を見つけて笑顔になる
3102004,多様な関わりを楽しむ,3,自然・物・人に幅広く触れて遊びを広げる,〇〇ちゃんとも一緒にやってみよう！こんな使い方もあるよ！,手を広げて色々なものに触れる
3102005,友達の多様な考えへの気付き,4,友達のやり方をじっと見て真似する,「〇〇ちゃんのやり方いいね」、「そんな考えもあるんだ」,友達の手元を覗き込む
3102005,友達の多様な考えへの気付き,4,話し合いで友達の意見を受け入れる,そんな考えもあるんだ！ぼくと違うけど面白いね！,うなずいて聞く、感心した表情
3102005,友達の多様な考えへの気付き,4,違う考えを聞いて自分の行動を変える,ぼくと違うけど面白いね！〇〇ちゃんのやり方いいね！,「なるほど」と指を立てる
3102006,自己判断や再考と新しい発想の喜び,5,自分で決めて行動し、違うと思えば修正する,「やっぱりこっちにする」、「いいこと考えた！」,ぱっと目を見開いて動き出す
3102006,自己判断や再考と新しい発想の喜び,5,何度も考え直して新しい方法を生み出す,「ひらめいた！」「いいこと考えた！」前はこうだったけど、今度は〇〇にする！,嬉しそうに飛び跳ねる、手を叩く
3102006,自己判断や再考と新しい発想の喜び,5,思いついたアイデアを試して広げる,前はこうだったけど、今度は〇〇にする！やっぱりこっちにする！,自信を持って作品や方法を見せる
3103001,自然に触れて感動する体験,3,花や虫に顔を近づけてじっと見る,「わあ！きれい！」「すごい！」、「見て見て、こんなのあった！」,目を大きく見開く、口を開けて見入る
3103001,自然に触れて感動する体験,3,虹や夕焼けを見つけて立ち止まる,見て見て、こんなのあった！はじめて見た！,指差しながら何度も振り返る
3103001,自然に触れて感動する体験,3,保育士や友達を呼んで一緒に見ようとする,はじめて見た！「わあ！きれい！」「すごい！」,胸の前で手を合わせる、飛び跳ねて喜ぶ
3103002,自然の変化を感じ取る感性,3,落ち葉や氷を拾い集める,「葉っぱが赤くなってる」「雲の形が変わった」、「昨日より寒いね」,肌で風を感じるように手を広げる
3103002,自然の変化を感じ取る感性,3,昨日と今日の花や空の違いを確かめる,昨日より寒いね！夏（季節）の匂いがする！,空を見上げて目を細める
3103002,自然の変化を感じ取る感性,3,風や雨の音に耳を澄ます,夏（季節）の匂いがする！「葉っぱが赤くなってる」「雲の形が変わった」,鼻をひくひくさせて匂いを嗅ぐ
3103003,好奇心や探究心にもとづく表現,4,見つけたものを絵や粘土で表現する,「なんで〇〇なの？」「どうして？」、「〇〇に似てる！」「〇〇みたい！」,じっとしゃがみ込んで観察する
3103003,好奇心や探究心にもとづく表現,4,図鑑で調べたり友達と話し合ったりする,「〇〇に似てる！」「〇〇みたい！」「やってみたい」「調べてみよう」,首をかしげて考え込む
3103003,好奇心や探究心にもとづく表現,4,虫や葉を集めて並べ、比べる,「やってみたい」「調べてみよう」「なんで〇〇なの？」「どうして？」,手で触って確かめる、ひっくり返してみる
3103004,自然への愛情と畏敬,3,花や木にそっと触れる、踏まないように歩く,「お花さん、ありがとう」、「踏んじゃかわいそう」,両手でそっと包むように扱う
3103004,自然への愛情と畏敬,3,落ちた実や葉を大切に持ち帰る,踏んじゃかわいそう！「森ってすごいね」「大きいね」,木や空を見上げて手を合わせる
3103004,自然への愛情と畏敬,3,雷や大きな木の前で静かになる,「森ってすごいね」「大きいね」お花さん、ありがとう！,息を潜めて見守る
3103005,生命の不思議さと尊さの認識,4,卵の孵化や芽吹きを毎日観察する,「生きてるんだね」「心臓が動いてる」、「死んじゃったの？」「かわいそう」,そっと息を止めて見守る
3103005,生命の不思議さと尊さの認識,4,死んだ虫や動物を埋めてあげる,「死んじゃったの？」「かわいそう」赤ちゃんも大きくなるのかな！,手を合わせる、お辞儀をする
3103005,生命の不思議さと尊さの認識,4,自分の体と生き物を比べる,赤ちゃんも大きくなるのかな！「生きてるんだね」「心臓が動いてる」,涙ぐむ、しんみりと黙り込む
3103006,動植物を思いやり大切に扱う態度,4,水やり・餌やりを進んで行う,「お腹すいたかな？」「喉かわいたかな？」、「元気になってね」,やさしく撫でる、両手で包む
3103006,動植物を思いやり大切に扱う態度,4,弱った生き物を保護しようとする,元気になってね！強く握っちゃダメだよ！,目線を合わせてしゃがむ
3103006,動植物を思いやり大切に扱う態度,4,友達に「優しくしてね」と伝える,強く握っちゃダメだよ！「お腹すいたかな？」「喉かわいたかな？」,そっと土に戻す、葉の陰に隠す
3104001,数量や図形に親しむ体験の積み重ね,3,積み木やブロックを高さ・大きさ順に並べる,「こっちのほうが おおきい！」「同じ数だね」、「まる、さんかく、しかく」と形の名前を口にする,指を折って数を数える
3104001,数量や図形に親しむ体験の積み重ね,3,おやつや玩具を「いち、に、さん」と数えながら配る,「まる、さんかく、しかく」と形の名前を口にする、ぼくが 5個、○○ちゃんは 3個！,両手を広げて大きさを比べる
3104001,数量や図形に親しむ体験の積み重ね,3,折り紙を半分に折って三角や四角を作る,ぼくが 5個、○○ちゃんは 3個！、「こっちのほうが おおきい！」「同じ数だね」,形を指でなぞる
3104002,数量や図形を遊びや生活で活用する力,3,人数分のコップやお皿を揃えて配膳する,「一人に 2個ずつだから、全部で 8個いるね」、この形を合わせると 四角になるよ！,物を並べて「同じ」「違う」を確認するように見比べる
3104002,数量や図形を遊びや生活で活用する力,3,ブロックを組み合わせて家や車などを構成する,この形を合わせると 四角になるよ！あと 3分で おかたづけだよ！,指差しながら数を確認する
3104002,数量や図形を遊びや生活で活用する力,3,ゲームで順番やポイントを数えて勝敗を判断する,あと 3分で おかたづけだよ！一人に 2個ずつだから、全部で 8個いるね！,形を手で合わせてはめ込もうとする
3104003,標識の役割への気付き,4,散歩中に信号や横断歩道の標識を指差して立ち止まる,「赤は とまれ、青は すすめ だよ」、「これは 危ないって しるし？」,標識を指差して友達に教える
3104003,標識の役割への気付き,4,トイレや非常口のマークを見て目的地がわかる,これは 危ないって しるし？このマーク、〇〇ってことだよね？,マークを見て首をかしげ考え込む
3104003,標識の役割への気付き,4,絵本や街中のマークに注目して保育士に尋ねる,このマーク、〇〇ってことだよね？赤は とまれ、青は すすめ だよ！,真似て同じマークを描こうとする
3104004,標識を手掛かりに行動する力,4,片付け棚のマークを見て玩具を正しい場所に戻す,「このマークのところに しまうんだよ」、「○○ちゃんのマークは ここだよ」,マークと持ち物を見比べてから置く
3104004,標識を手掛かりに行動する力,4,自分のロッカーや靴箱のマークを見て持ち物を置く,こっちが 出口って 書いてある！○○ちゃんのマークは ここだよ！,矢印の方向に体を向けて進む
3104004,標識を手掛かりに行動する力,4,避難訓練で矢印や非常口マークに従って移動する,○○ちゃんのマークは ここだよ！このマークのところに しまうんだよ！,友達にマークを指差して教える
3104005,数量や図形、標識への興味・感覚の形成,4,身の回りの数字や形、マークを見つけて報告する,「あっ、ここにも さんかく あった！」、「今日は 何月何日？」,見つけた数字や形を指差して目を輝かせる
3104005,数量や図形、標識への興味・感覚の形成,4,時計やカレンダーを繰り返し眺める,今日は 何月何日？この マーク、お店にもあったよ！,同じマークを探してきょろきょろ見回す
3104005,数量や図形、標識への興味・感覚の形成,4,数・形・マークに関する絵本を自分から手に取る,この マーク、お店にもあったよ！あっ、ここにも さんかく あった！,紙に数字や形、マークを夢中で描く
4101001,文字や記号に親しむ体験の積み重ね,3,絵本や看板の文字を指でなぞる,「これ〇〇って書いてある」と読もうとする、「これなんて読むの？」と尋ねる,文字を目で追う、じっと見つめる
4101001,文字や記号に親しむ体験の積み重ね,3,自分の名前や友達の名前の文字を探す,「これなんて読むの？」と尋ねる、「ぼくの名前と同じ字だ！」と気づく,指差ししながら一文字ずつ確認する
4101001,文字や記号に親しむ体験の積み重ね,3,数字や記号が書かれた玩具・カードで遊ぶ,「ぼくの名前と同じ字だ！」と気づく、「これ〇〇って書いてある」と読もうとする,真似して空書きする
4101002,文字や記号の役割理解,4,カレンダーや時計を見て予定を確認する,「この矢印はこっちって意味だよ」、「赤は止まれ、青は進めだね」,標識を指差して友達に教える
4101002,文字や記号の役割理解,4,トイレや非常口などの標識を見て行動する,赤は止まれ、青は進めだね！ここに〇〇って書いてあるから〇〇だ！,記号を見て立ち止まる・方向を変える
4101002,文字や記号の役割理解,4,絵本の題名や表示から内容を推測する,ここに〇〇って書いてあるから〇〇だ！この矢印はこっちって意味だよ！,意味を理解してうなずく
4101003,文字や記号を用いた表現・伝達,4,手紙やカードを書いて友達・家族に渡す,「〇〇ちゃんにお手紙書いた」、「これはぼくのしるし」,鉛筆を持って真剣に書く
4101003,文字や記号を用いた表現・伝達,4,絵に文字やマークを添えて描く,これはぼくのしるし！ここに『すき』って書いたの！,書いたものを嬉しそうに見せる
4101003,文字や記号を用いた表現・伝達,4,自分の持ち物に名前やマークを書く,ここに『すき』って書いたの！〇〇ちゃんにお手紙書いた！,折りたたんで渡す、封をする仕草
4101004,文字や記号を必要に応じて活用する力,4,当番表や名簿で自分の順番を確認する,「今日は〇〇くんの番だよ」と表を見て言う、「全部で5個あるから一人1個ね」,表や掲示物を確認しに行く
4101004,文字や記号を必要に応じて活用する力,4,数を数えて人数分に分ける,全部で5個あるから一人1個ね！ここに書いておこう、忘れないように！,指で数えながら分配する
4101004,文字や記号を必要に応じて活用する力,4,ルールや約束を図や文字でまとめる,ここに書いておこう、忘れないように！「今日は〇〇くんの番だよ」と表を見て言う,メモするように書き留める
4101005,文字や記号への興味・感覚の形成,3,身の回りの文字・数字を見つけて報告する,「あっ、ここにも〇〇の字がある！」、「これとこれ、同じかたち（数字）だね」,目を輝かせて文字・数字を探し回る
4101005,文字や記号への興味・感覚の形成,3,図形や模様の違い・共通点に気づく,これとこれ、同じかたち（数字）だね！「もっと書きたい」「読めるようになりたい」,形をなぞる、並べて比べる
4101005,文字や記号への興味・感覚の形成,3,文字や数を書く遊びを繰り返し楽しむ,「もっと書きたい」「読めるようになりたい」、あっ、ここにも〇〇の字がある！,書けた文字を自慢げに見せる
4102001,保育士と友達との心の交流,4,保育士や友達に自分から近寄り話しかける,「先生、あのね…」と話を切り出す、「〇〇ちゃん大丈夫？」「一緒に遊ぼう」,相手の顔をのぞき込む
4102001,保育士と友達との心の交流,4,嬉しいこと・悲しいことを相手に伝えに行く,「〇〇ちゃん大丈夫？」「一緒に遊ぼう」、「ありがとう」「ごめんね」を自分から言う,目を合わせて微笑む、うなずく
4102001,保育士と友達との心の交流,4,困っている友達に声をかけたり寄り添う,「ありがとう」「ごめんね」を自分から言う、「先生、あのね…」と話を切り出す,手をつなぐ、頭をなでる、肩に触れる
